qID;keywords;expected;maxScore
exQuery0;since,less,julian,domini,period,urbe,years,used,year,calendar;9;0.000215822366992
exQuery1;who,producer,april,lambert,1981,kit,may,manager,christopher,1935;1;0.000230871931014
exQuery2;atmosphere,tone,often,eventually,describe,artists,associated,mist,george,landscape;1;0.000323928944619
exQuery3;brazil,passenger,based,cargo,regional,operates,taf,fortaleza,airline,services;2;0.000916328565172
exQuery4;relevant,liberal,chinese,postgraduates,national,modern,undergraduates,one,founded;1;0.00119870577744
exQuery5;golden,six,titled,show,ran,series,universal,nbc,detectives,united;2;0.000198040441943
exQuery6;gillette,artist,september,1974,born,american,rbdance,sandra,active,1990s;1;0.00853529756766
exQuery7;pink,bridges,obscured,clouds,burning,song,1972,shares,instrumental,mudmen;1;0.0216226912354
exQuery8;composed,rerecording,words,indicated,generally,artists,number,pop,one,illustrated;1;0.000602409638554
exQuery9;mardi,bridge,december,domestic,harbour,ending,luna,year,city,27;2;0.000462962962963
